augmentation,extra_features,train_minutes,test_from_minute,accuracy,macro_f1,cohen_kappa,f1_F,f1_N,f1_S,f1_V
cgan,hr,1,5,0.976,0.697,0.87,0.02,0.987,0.84,0.94
cgan,hr,2,5,0.971,0.772,0.855,0.394,0.985,0.758,0.951
cgan,hr,3,5,0.98,0.86,0.899,0.657,0.99,0.84,0.953
cgan,hr,4,5,0.98,0.85,0.899,0.615,0.99,0.843,0.953
cgan,hr,5,5,0.98,0.848,0.897,0.604,0.99,0.84,0.956
cgan,ll,1,5,0.964,0.67,0.808,0.039,0.981,0.757,0.904
cgan,ll,2,5,0.967,0.747,0.834,0.323,0.984,0.757,0.923
cgan,ll,3,5,0.971,0.821,0.854,0.597,0.984,0.757,0.946
cgan,ll,4,5,0.972,0.82,0.86,0.579,0.985,0.758,0.957
cgan,ll,5,5,0.973,0.835,0.863,0.645,0.985,0.756,0.953
cgan,llhr,1,5,0.972,0.685,0.852,0.007,0.985,0.818,0.93
cgan,llhr,2,5,0.979,0.781,0.889,0.339,0.989,0.843,0.953
cgan,llhr,3,5,0.98,0.854,0.896,0.634,0.99,0.843,0.951
cgan,llhr,4,5,0.98,0.841,0.895,0.578,0.989,0.843,0.952
cgan,llhr,5,5,0.981,0.851,0.901,0.612,0.99,0.843,0.957
cgan,none,1,5,0.968,0.668,0.834,0,0.983,0.759,0.93
cgan,none,2,5,0.969,0.701,0.838,0.164,0.984,0.717,0.938
cgan,none,3,5,0.973,0.853,0.864,0.721,0.985,0.759,0.946
cgan,none,4,5,0.97,0.821,0.853,0.593,0.984,0.759,0.949
cgan,none,5,5,0.969,0.806,0.849,0.532,0.984,0.758,0.951
none,none,1,5,0.96,0.651,0.782,0,0.978,0.754,0.871
none,none,2,5,0.969,0.736,0.832,0.302,0.984,0.728,0.93
none,none,3,5,0.973,0.846,0.862,0.694,0.985,0.755,0.949
none,none,4,5,0.973,0.845,0.865,0.687,0.986,0.757,0.949
none,none,5,5,0.974,0.862,0.869,0.758,0.986,0.754,0.951
smote,none,1,5,0.946,0.481,0.668,0.013,0.971,0.009,0.93
smote,none,2,5,0.949,0.534,0.692,0.213,0.973,0.009,0.941
smote,none,3,5,0.97,0.813,0.853,0.568,0.984,0.752,0.948
smote,none,4,5,0.971,0.813,0.855,0.559,0.985,0.754,0.954
smote,none,5,5,0.97,0.813,0.852,0.558,0.984,0.759,0.95
